keyword,uri,author,display_name,did,text,created_at,bio
JESUS,at://did:plc:ffwvamr44uffpkgsgy5zkazd/app.bsky.feed.post/3m6mm5yhwn224,tomflood.bsky.social,Tom Flood,did:plc:ffwvamr44uffpkgsgy5zkazd,What album had the biggest influence on you as a teenager.,2025-11-27T14:43:06.172Z,
JESUS,at://did:plc:fbvdnsy46aelww2sfjirceut/app.bsky.feed.post/3m6mm5twp6c2g,rensto.bsky.social,Rensto 🐻‍❄️ ➡️ BFF'26,did:plc:fbvdnsy46aelww2sfjirceut,jesus fucking christ i'm so disappointed,2025-11-27T14:43:01.414Z,
JESUS,at://did:plc:y744zncgrqeny3lhkzxzseuu/app.bsky.feed.post/3m6mm5duj322g,bethtoja.bsky.social,🩵💙🩵 Beth 🩵💙🩵,did:plc:y744zncgrqeny3lhkzxzseuu,"Isn’t it hideous?  Imagine how many people walk in there and under their breath just say, “Jesus.”",2025-11-27T14:42:44.565Z,
JESUS,at://did:plc:z3gbjgnsfhwxb2d4dz3jr2dj/app.bsky.feed.post/3m6mm4fcxt22z,murphmama.bsky.social,,did:plc:z3gbjgnsfhwxb2d4dz3jr2dj,"Things I told my kids:
1. Mama loves you no matter what
2. Columbus didn't discover shit
3. State tests are testing the teachers, not you, so fuck it
4. Santa, the Tooth Fairy, and our family leprechauns are as true and real as you and me
5. Jesus was probably a pretty cool dude
✌️",2025-11-27T14:42:12.533Z,
JESUS,at://did:plc:iw7f7zll6xwb4ulmzjhgnrzg/app.bsky.feed.post/3m6mm4c4b4j2i,mobiquotes.bsky.social,MobiQuotes,did:plc:iw7f7zll6xwb4ulmzjhgnrzg,Jesus taught that there is an eternal destiny for each individual—either heaven or hell (John 5:25–29). The eternal destiny of each individual depends on a decision made in this life (Luke 16:19–31)—to be followed by a life of obedience.,2025-11-27T14:42:08.783294+00:00,
JESUS,at://did:plc:5fjr3vuu7ssfmyfqgixcfoyv/app.bsky.feed.post/3m6mm4btdla2p,greendaylyrics.bsky.social,Green Day Lyric Bot,did:plc:5fjr3vuu7ssfmyfqgixcfoyv,The Jesus of Suburbia is a lie ,2025-11-27T14:42:03.45315300Z,
JESUS,at://did:plc:6fv5kftk2u7dtwzowg45xyzn/app.bsky.feed.post/3m6mm3yivqs22,grantmusic-pdx.bsky.social,Grant Cummins music spectrum,did:plc:6fv5kftk2u7dtwzowg45xyzn,Finding new cool friends daily. Now. Thank you Jesus,2025-11-27T14:41:59.096Z,
JESUS,at://did:plc:zfyydn5bywcndmhg3bphjspp/app.bsky.feed.post/3m6mm3tjwtk2s,x92.bsky.social,X92🔞💖💜💙🏳️‍🌈,did:plc:zfyydn5bywcndmhg3bphjspp,...starting to think christian dude bros cant recognize actual religious themes if stereotypical white jesus isn't included...,2025-11-27T14:41:53.828Z,
JESUS,at://did:plc:jdr4ii3cmh5hzwyxabee5vbv/app.bsky.feed.post/3m6mm34ouck2w,bd-nola.bsky.social,,did:plc:jdr4ii3cmh5hzwyxabee5vbv,I’m not Christian but I feel I know Jesus better than the Johnsons do. The most interesting but not shocking thing from this lame article (that I just wasted my time reading) is that Stephen Miller only eats mayonnaise (literally?).,2025-11-27T14:41:29.931Z,
JESUS,at://did:plc:wiq2rhv6fljas76q4bpniqur/app.bsky.feed.post/3m6mm2tw4vs24,paularead.bsky.social,Paula Read,did:plc:wiq2rhv6fljas76q4bpniqur,"""Mr. Johnson’s dream dinner party was revealed to be eating salmon with Jesus, George Washington and Abraham Lincoln.

But when would he possibly have the time?""

I just - this whole thing - I can't. 
www.nytimes.com/2025/11/26/u...",2025-11-27T14:41:20.731Z,
JESUS,at://did:plc:jfmm574i6svhrxm3a37byxby/app.bsky.feed.post/3m6mm25lawk2j,hbender55.bsky.social,SEASONAL VEGAN,did:plc:jfmm574i6svhrxm3a37byxby,"KASH PATEL TALKS ABOUT A HEINOUS TERRORIST ACT AGAINST AMERICA 
CHECK OUT THIS GUY REMEMBER WHEN THIS HAPPENED ?

REMEMBER WHEN OFFICERS WERE INJURED AND DIED BECAUSE OF THIS PIECE OF SHIT YOU SEEM TO HAVE TETHERED YOURSELVES TO 

WTF 🤬. OMF JESUS CRIST 

youtube.com/shorts/S5Ava...",2025-11-27T14:40:57.306Z,
JESUS,at://did:plc:6q5ygzzha3dkmgqpfatp5rrn/app.bsky.feed.post/3m6mlzsbcnl2b,radio-c.bsky.social,Rádio C,did:plc:6q5ygzzha3dkmgqpfatp5rrn,"Radio C - Cinema e Cultura: Porcupine Tree - Intermediate Jesus!

Ouve no nosso Website: https://radio-c.org",2025-11-27T14:40:44.693107Z,
JESUS,at://did:plc:dhbj6nr62hdxmzw5i5itnhyp/app.bsky.feed.post/3m6mlzl2yrs2y,flyonsomewall.bsky.social,Free Agent Fly On The Wall,did:plc:dhbj6nr62hdxmzw5i5itnhyp,Jesus christ,2025-11-27T14:40:37.900Z,
JESUS,at://did:plc:wrx4uqsife4hkkagcwvrmgs2/app.bsky.feed.post/3m6mlxdxmbs2d,urantiachurch.bsky.social,Michael Crow,did:plc:wrx4uqsife4hkkagcwvrmgs2,#Jesus #Prayer #Pray #Prayed #Father #FatherGod #GodtheFather #God #Thankyou #LittleOnes #Believe #SetApart #BeOne #Thanksgiving #Urantia,2025-11-27T14:39:23.337Z,
JESUS,at://did:plc:tvx5hdhs5sjdm66eve7uakzx/app.bsky.feed.post/3m6mlx4oeg22e,hedgehodgefax.bsky.social,ara forever,did:plc:tvx5hdhs5sjdm66eve7uakzx,i think jesus is a trans man but i could see him using he/they pronouns,2025-11-27T14:39:15.697Z,
JESUS,at://did:plc:ogb3i5t56kvo4vcpvs3hse4z/app.bsky.feed.post/3m6mlwqd6vs2t,rohantheassassin.bsky.social,,did:plc:ogb3i5t56kvo4vcpvs3hse4z,"So they took away the stone. Then Jesus looked up and said, “Father, I thank you that you have heard me. I knew that you always hear me, but I said this for the benefit of the people standing here, that they may believe that you sent me.” - John 11:41-42",2025-11-27T14:39:02.738Z,
JESUS,at://did:plc:gh3vsels74nx7end4b3gguar/app.bsky.feed.post/3m6mlusu3nc2i,tanager21.bsky.social,John Ata,did:plc:gh3vsels74nx7end4b3gguar,"Today’s Gospel acclamation: “In all circumstances, give thanks, for this is the will of God for you in Christ Jesus.” <1 Thessalonians 5:18>",2025-11-27T14:37:58.289Z,
JESUS,at://did:plc:di2nwrwyucvtpbc5xguk5yqh/app.bsky.feed.post/3m6mlurf2r225,high-desert-pagan.bsky.social,High Desert Pagan,did:plc:di2nwrwyucvtpbc5xguk5yqh,"Jesus Christ. Great News conference there Keystone Kash. We’re all very happy you will not short change nothing to the American people to catch the DC shooter. Have you looked in their hospital room where they’re already in custodia, you cross eyed fuckwit?",2025-11-27T14:37:56.748Z,
JESUS,at://did:plc:76wdtfbjjqhsurghtu7jttel/app.bsky.feed.post/3m6mluj34yk26,granny2girls.bsky.social,Granny,did:plc:76wdtfbjjqhsurghtu7jttel,"The people who have kept me sane: Dan Rather, Russell Moore, Beth Moore, Benjamin Cremer, Amy Helm, and Jesus. It’s been a rough 15 years. Access Hollywood should have ended it all.",2025-11-27T14:37:48.035Z,
JESUS,at://did:plc:purx6t4j2o6epxvm634p5zhz/app.bsky.feed.post/3m6mlueg5g22j,jamiecbarnett.bsky.social,Jamie Barnett,did:plc:purx6t4j2o6epxvm634p5zhz,"Also, “great policy”? Jesus. What policy? His infrastructure deal? His healthcare plan?",2025-11-27T14:37:43.153Z,
JESUS,at://did:plc:zigyj6udqddbgwcgiekw3wg3/app.bsky.feed.post/3m6mlsliek227,rubewalker.bsky.social,Rube Walker,did:plc:zigyj6udqddbgwcgiekw3wg3,"Thank you. Jesus Christ, thank you. I am so sick of hearing about the bullshit no losing seasons, as if it means something.",2025-11-27T14:36:43.457Z,
JESUS,at://did:plc:fqzwcy76bv5fqemzwnmryfcd/app.bsky.feed.post/3m6mlrbo3ds2a,squwas.bsky.social,Squwas,did:plc:fqzwcy76bv5fqemzwnmryfcd,"It's funny how the party that claims to follow Jesus likes to call people who tell them to do what Jesus actually said things like ""libtard,"" ""snowflake,"" & ""antichrist."" Especially when they aren't very smart, are offended by a logo changing, & blindly follow the most hateful person on the planet.",2025-11-27T14:35:59.601Z,
JESUS,at://did:plc:slg7stfdyb7swuaorgbwp7sh/app.bsky.feed.post/3m6mlr4kuos24,vagrantjourno.bsky.social,Romeo Kokriatski,did:plc:slg7stfdyb7swuaorgbwp7sh,Why are there so many gaps between floats??? Jesus Christ we've been doing this for 40 years?,2025-11-27T14:35:54.254Z,
JESUS,at://did:plc:tkg544m3jg6kvvfsepyqhidx/app.bsky.feed.post/3m6mlpodqns2e,goseahox.bsky.social,Paddy O'Furniture 🫘,did:plc:tkg544m3jg6kvvfsepyqhidx,"Jesus Christ. This press conference is the worst. Trying to be ""day that will live in infamy,"" but they're are just coming off as phony and insincere. They are merely reinforcing my feeling that this was a false flag incident",2025-11-27T14:35:05.787Z,
JESUS,at://did:plc:sf3f7q7ceh7iotvndinyx7a3/app.bsky.feed.post/3m6mlpe7kn22w,michaelismad.bsky.social,,did:plc:sf3f7q7ceh7iotvndinyx7a3,Jesus!,2025-11-27T14:34:55.164Z,
JESUS,at://did:plc:66uxngya6i4wk7io2vvplt4o/app.bsky.feed.post/3m6mlonss4c2y,betsy0316.bsky.social,Betsy,did:plc:66uxngya6i4wk7io2vvplt4o,"At first I thought ""Jesus God, Probst, lay off Kristina!"" but then it seemed to bear real fruit.

An absolutely moving, palpably transformative moment.

The experience is the prize.

#Survivor49
#Survivor",2025-11-27T14:34:31.677Z,
JESUS,at://did:plc:bsevsrjvv3l3o2udgwlwwyhb/app.bsky.feed.post/3m6mlng5nsk26,dunand.bsky.social,Jean-Michel+ Dunand,did:plc:bsevsrjvv3l3o2udgwlwwyhb,"Il y a 21 ans aujourd’hui, je recevais cette alliance.
Pourquoi cette alliance fracturée ?
""Jésus s’est mis sur les lignes de fracture de l'humanité ...
Il place ses disciples sur ces mêmes lignes de fracture avec la même mission de réconciliation"".
Bx. Pierre Claverie op.",2025-11-27T14:33:50.077Z,
JESUS,at://did:plc:3xhpszaojothbajjznewrslt/app.bsky.feed.post/3m6mlm25fe22j,jostavodebauge.bsky.social,Joan Stavo-Debauge,did:plc:3xhpszaojothbajjznewrslt,"Et ça rémunère bien ça, Jésus, en dehors des réparations des SUV, bien sûr ?",2025-11-27T14:33:03.938Z,
JESUS,at://did:plc:dtwbbee4a5ajl2diav624eq3/app.bsky.feed.post/3m6mllppfu22i,bobooten.bsky.social,Bob Booten,did:plc:dtwbbee4a5ajl2diav624eq3,"The Beat Farmers - Are You Drinking With Me Jesus?
#Musicsky
youtu.be/O5_5FvN2-Wk?...",2025-11-27T14:32:53.000Z,
JESUS,at://did:plc:okqdcyfqcfnckpcndutbcnjy/app.bsky.feed.post/3m6mll3keas2m,ll3d.bsky.social,salt and pepper surfer,did:plc:okqdcyfqcfnckpcndutbcnjy,"Mike Johnson, dreamin’ of eatin’ mayo with Jesus and George Washington",2025-11-27T14:32:31.864Z,
JESUS,at://did:plc:rfzfqdg4zpfvito5o7kgcbsu/app.bsky.feed.post/3m6mlivy6x22p,cleoschweyer.bsky.social,Cléo,did:plc:rfzfqdg4zpfvito5o7kgcbsu,J'ai une belle-soeur qui m'appelle Jésus et elle s'y connaît en Jésus DONC,2025-11-27T14:31:18.917Z,
JESUS,at://did:plc:wrx4uqsife4hkkagcwvrmgs2/app.bsky.feed.post/3m6mlie3axk2d,urantiachurch.bsky.social,Michael Crow,did:plc:wrx4uqsife4hkkagcwvrmgs2,#Jesus #Spirit #Thanksgiving #Prayer #Prayers #Worship #Scripture #GiveThanks #Lovingkindness #Faithfulness #WillofGod #God #Praise #Psalm #Urantia,2025-11-27T14:31:00.137Z,
JESUS,at://did:plc:t3z46tzeyfenp7njkmvuz3oy/app.bsky.feed.post/3m6mlhp7nok2g,andrewmichael.bsky.social,Andrew,did:plc:t3z46tzeyfenp7njkmvuz3oy,Jesus Herbert Walker Christ,2025-11-27T14:30:38.267Z,
JESUS,at://did:plc:otwuoxexufemlndp6tdbtqd4/app.bsky.feed.post/3m6mlgxkpys2b,doomcrone.bsky.social,A/K/A blueglass55,did:plc:otwuoxexufemlndp6tdbtqd4,Dear god it was a setup wasn’t it - they take any opportunity to use people to attain their goals - Jesus h Christ there is no bottom to these cult members,2025-11-27T14:30:13.463Z,
JESUS,at://did:plc:ppbzxkds7h27lqo4g24vw4sc/app.bsky.feed.post/3m6mlg7ohx22o,mama-roxy.bsky.social,"Mama Roxy, Korps arc",did:plc:ppbzxkds7h27lqo4g24vw4sc,Jesus christ...,2025-11-27T14:29:48.421Z,
JESUS,at://did:plc:dqeofbdbyd7cprzzgmwe2bv2/app.bsky.feed.post/3m6mlfbi7lo2j,yearnbot.bsky.social,professional yearner,did:plc:dqeofbdbyd7cprzzgmwe2bv2,jesus can always reject his father / but he cannot escape his mother’s blood,2025-11-27T14:29:11.29091600Z,
JESUS,at://did:plc:6nawyqv4delmsccyvogm6tk6/app.bsky.feed.post/3m6mldj7wnk2m,blackavar-inle.bsky.social,Blackavar,did:plc:6nawyqv4delmsccyvogm6tk6,"If there's FUCKING ANYONE you can assume means a word antisemitically, it's FUCKING TUCKER CARLSON

This is the LAST person to be credulous towards, jesus christ",2025-11-27T14:28:17.766Z,
JESUS,at://did:plc:nvrrcch5qckpxmq7by36rcho/app.bsky.feed.post/3m6mld5dkrk2a,munky.bsky.social,Maurício,did:plc:nvrrcch5qckpxmq7by36rcho,"jesus cristo (os veganos da growth são bem bons, eu pessoalmente gostei mais do de proteina de arroz de chocolate do que o whey de chocolate",2025-11-27T14:28:05.301Z,
JESUS,at://did:plc:c5wu7gsci34mnejzhcxm2bda/app.bsky.feed.post/3m6mlcte35c2u,biblemanservant.bsky.social,Bible Man - Philippians 1:21,did:plc:c5wu7gsci34mnejzhcxm2bda,"ACCEPT JESUS TODAY 

acceptjesustoday.com",2025-11-27T14:27:54.827Z,
JESUS,at://did:plc:y6zlb34523dpd3f7ldwoyrls/app.bsky.feed.post/3m6mlbanh2q2i,ttcath.bsky.social,全属于祢,did:plc:y6zlb34523dpd3f7ldwoyrls,"Coffee with God:December 2, 2025

Tuesday of the First Week of AdventLuke 10: 21-24A Childlike Heart for an Advent God As we enter the early days of Advent, the Church invites us to slow down, breathe deeply, and listen with the quiet openness of a child. In today’s Gospel, Jesus rejoices in the…",2025-11-27T14:27:00Z,
